passage
"I A Little Gentleman 9 II Hunting a Home 14 III A Startled Sleeper 19 IV The Blackbird's Nest 25 V Dickie's Summer Home 30 VI A Warning 34 VII Noisy Visitors 39 VIII In the Cornfield 44 IX Fatty Coon Needs Help 49 X A Bit of Advice 53 XI A Search in Vain 58 XII A Little Surprise 65 XIII The Feathers Fly 70 XIV Making Ready for Winter 75 XV A Plunge In The Dark 80 XVI A Lucky Find 85 XVII A Slight Mistake 89 XVIII Too Many Cousins 95 XIX The Wrong Turn 100 XX Bedfellows 107 XXI One Way To Keep Warm 112 XXII Queer Mr. Pine Finch 117 XXIII A Feast At Last 122As for Dickie Deer Mouse, he was always tastefully dressed in fawn color and white. And except sometimes in the spring, when he needed a new coat, he was a real joy to see. For he both looked and acted like a well-bred little person.Possibly it was because his mother had taught him the way when he was young; for his feet--and the under side of him--were white even when he was just a tiny fellow, so young that the top side of him was gray instead of fawn colored.How his small white feet would twinkle as he frisked about in the shadows of the woods and ran like a squirrel through the trees! And how his sharp little cries would break the wood-silence as he called to his friends in a brisk chatter, which sounded like that of the squirrels, only ever so far away!In many other ways Dickie Deer Mouse was like Frisky Squirrel himself. Dickie's idea of what a good home ought to be was much the same as Frisky's: they both thought that the deserted nest of one of the big Crow family made as fine a house as any one could want. And they couldn't imagine that any food could possibly be better than nuts, berries and grain.Then, too, Dickie Deer Mouse had a trick of gathering good things to eat, which he hid away in some safe place, so that he would not have to go hungry during the winter, when the snow lay deep upon the ground. And even Frisky Squirrel was no spryer at carrying beechnuts--or any other goody--to his secret cupboard than little white-footed Dickie Deer Mouse.It was no wonder that Dickie could be cheerful right in the dead of winter, when he had a fine store of the very best that the fields and forest yielded, to keep him sleek and fat and happy. So even on the coldest nights, when the icy wind whipped the tree-tops, and the cold, pale stars peeped down among the branches, Dickie scampered through the woods with his friends and had the gayest of times.Now, Dickie had heard a bit of gossip, to the effect that the old gentleman had moved to another tree nearer to Farmer Green's cornfield. So Dickie wanted to lose no time. He was afraid that if he waited, some brisk member of the Squirrel family would settle himself in Mr. Crow's old home.But he soon decided that Simon was headed for another part of the woods, for his quavering cry grew fainter and fainter. So Dickie promptly forgot his fright and scampered on again faster than before, to make up the time he had lost.Though he travelled through the flickering shadows like a brown and white streak, he did not pant the least bit when he reached old Mr. Crow's elm. He did not need to pause at the foot of the tree to get his breath, but scurried up it as if climbing was one of the easiest things he did.Mr. Crow's big nest was so far from the ground that many people would not have cared to visit it except with the help of an elevator. But Dickie Deer Mouse never stopped to think of such a thing. Of course it would have done him no good, anyway, to wish for an elevator, for there was none in all Pleasant Valley. In fact, even Johnnie Green himself had only heard of--and never seen--one.Dickie had never before been so close to Mr. Crow's old home. And now he stood still and looked at it with great interest. It was ever so much bigger than he had supposed, and exactly the sort of dwelling--cool and airy--that he had hoped to find for his summer home.""I don't see what sort of house the old gentleman can want that would be better than this,"" Dickie Deer Mouse remarked to himself. ""But it is a long way from the cornfield, to be sure."" And then he climbed quickly up the side of the nest and whisked down inside it."
The next moment a great commotion frightened him nearly out of his wits. A deafening squawking smote Dickie Deer Mouse's big ears. And something struck him a number of blows that knocked his breath quite out of him. Of course Dickie Deer Mouse ought not to have been so ready to believe that stray bit of gossip about Mr. Crow. It is true that the old black scamp had _talked_ about moving to a new place nearer Farmer Green's cornfield. But his plan had gone no further than that.During the uproar Dickie Deer Mouse managed to slip out of Mr. Crow's house without being seen. But he was too polite to run away. Instead of hurrying off to escape a scolding from Mr. Crow he clung to a near-by branch and called as loudly as he could:Dickie Deer Mouse had to repeat that speech several times before Mr. Crow noticed him. But at last the old gentleman caught sight of his visitor. And when he heard what Dickie said he looked far from pleasant. For a few days after his visit to Mr. Crow's elm, Dickie Deer Mouse kept watch carefully of Mr. Crow's comings and goings. And he decided at last that the old gentleman liked his home too well to leave it.But Dickie was not discouraged. He had no doubt that he could find some other pleasant quarters in which to spend the summer--quarters that would prove almost as airy, and perhaps more convenient--because they were not so high.So Dickie began to search for birds' nests. And for a time he had to suffer a great deal of scolding by his feathered neighbors. It must be confessed that they were none too fond of Dickie Deer Mouse. There was a story of something he was said to have done one time--a tale about his having driven a Robin family away from their nest, in order to live in it himself.That seems a strange deed on the part of anyone so gentle as Dickie Deer Mouse. But old Mr. Crow always declared that it was true. And Solomon Owl often remarked that he wished Dickie Deer Mouse would try to drive _him_ away from his home in the hollow hemlock.But during his hunt for birds' nests Dickie Deer Mouse was careful to keep away from Solomon Owl, and his cousin Simon Screecher, and all the rest of the Owl family. He contented himself with hasty peeps into nests built by such smaller folk as Blackbirds and Robins. And if it happened that anybody was living in one of those nests, Dickie soon found it out. For the angry owners were sure to fly at him with screams of rage, and peck at his head as they darted past him.It was really not worth while getting into a fight over a bird's nest, when there was plenty of old ones in which nobody dwelt. To be sure, many of them were almost ready to fall apart. But Dickie Deer Mouse finally found one to his liking--a last year's bird's nest where two Blackbirds had reared a promising family. They had not come back to Pleasant Valley. And there was their house, almost as good as new, just waiting for some one to move in and make himself at home.
"Dickie Deer Mouse was too mild and gentle-mannered to make any reply to such rude speeches. Besides, he expected to make a good many changes in the old nest before the place was exactly what he wanted.""I don't understand,"" he said aloud to nobody in particular, ""why most birds don't know how a house should be built. Of all the birds in Pleasant Valley the only good nest-builder I know is Long Bill Wren. He must be a very sensible fellow, because he puts a roof on his house.""Now, Dickie Deer Mouse may--or may not--have known that some of his bird neighbors were near at hand, watching him. Certainly they must have heard what he said, for they began to scold at the top of their voices. And one rude listener named Jasper Jay screamed with fine scorn:If there was one thing that he liked in a house it was a soft bed. And he knew that if the weather happened to be chilly now and then, he could snuggle into the cat-tail down and sleep as comfortably as he pleased.The swamp was none too near his new home; and he might have found moss or shreds of bark near-by that would have served his purpose. But he would rather have cat-tail down, even though he had to make a good many trips back and forth before he finally lined the old bird's nest to his liking.When Dickie's home was done he was so pleased with it that he asked all his neighbors if they didn't like his ""improvements,"" as he called the additions he had made. And all his Deer Mouse relations told him that he certainly had a fine place.His views, however, did not trouble Dickie Deer Mouse in the least. The place suited him. And he was so happy in it that sometimes when the weather was bad and he wasn't whisking about in the trees, or scurrying around on the ground, he would stay inside his cozy home, with only his head sticking out through the doorway, while his big, bright, bulging, black eyes took in everything that happened in his dooryard.Dickie Deer Mouse knew that one needed sharp eyes to spy him when he was peeping from his house in that fashion. And often when somebody of whom he was really afraid came wandering through the woods, Dickie would keep quite still, while he watched the newcomer without being seen.But with some of the wood folk he took no chances. Whenever he heard Solomon Owl's rolling call, or his cousin Simon Screecher's quavering whistle, Dickie Deer Mouse always pulled his head inside his house in a hurry.Of course, if they had been aware that Dickie Deer Mouse was hidden inside his rebuilt, last year's bird's nest, either of them, with his sharp claws, could easily have torn the moss roof off Dickie's home. But luckily for Dickie, there were some things that they didn't know. If old Mr. Crow had minded his own affairs everything would have gone well with Dickie Deer Mouse, after he moved into his new home. But Mr. Crow could not forget the time when Dickie had awakened him out of a sound sleep and frightened him almost out of his mind.""Then you've got me into a half-pint of trouble, anyway,"" old Mr. Crow insisted. ""And that's too much, for a person of my age. You'll have to keep away from my--ahem!--from Farmer Green's cornfield. And what's more, Fatty Coon says the same thing.""But Dickie Deer Mouse made no answer. Right before Mr. Crow's sharp eyes he vanished among the roots of a tree. And it made the old gentleman quite peevish because he couldn't discover where Dickie Deer Mouse had hidden himself."
"No one that knew the two cousins would need to be told that they could never talk together quietly. Perched close to Dickie's house, Mr. Crow croaked in a hoarse voice, while Jasper Jay squalled harshly.""I'll have to tell Fatty Coon about this queer house,"" he chuckled. ""It's too good a joke to keep. He'll be over here as soon as he knows where to come, for he'll be glad to see it; and he wants to talk to Dickie Deer Mouse about taking our corn.""Dickie had still felt somewhat sleepy during the first part of this talk outside his house. But when Mr. Crow began to speak about Fatty Coon, Dickie became instantly wide awake. He sprang quickly to his feet; and thrusting his head through his doorway, he called in his loudest tone:But they talked louder and louder. And since Dickie Deer Mouse never quarreled with anybody, and hated to hear such language as the two cousins used, he slipped out of his house without their seeing him and went over to the cornfield. In one way, especially, Fatty Coon and Dickie Deer Mouse were alike: They were night-prowlers. When they slept it was usually broad daylight outside, and the birds--except for a few odd fellows like Willie Whip-poor-will and Mr. Night Hawk--were abroad, and singing, and twittering. And when most of the birds went to sleep Dickie and Fatty Coon began to feel quite wide awake.Dickie tried to slip out of sight under a pumpkin vine that grew between the rows; but Fatty Coon saw him before he could hide. And Fatty began to make the queerest noise, as if he were almost choking.Fatty Coon shook his head. There was nothing the matter with him, except that he had stuffed his mouth so full that he couldn't speak. After swallowing several times he wiped his mouth on the back of his paw--a habit of which his mother had never been able to break him. It was no wonder that dainty Dickie Deer Mouse shuddered again, when Fatty did that.""I could,"" said Fatty Coon, ""if other people didn't take so much of it.... Now, there's Mr. Crow,"" he complained. ""I had to get out of bed and come over here to-day, in the sunlight, because I was afraid he wouldn't leave any corn for me.""There's no use saying anything to him,"" Fatty continued, ""because he thinks this is _his_ cornfield.... But little chaps like you will have to keep away from this place.... Now I've warned you,"" he added. ""And if I hear of your eating any more corn I'll come straight to your house--when I find out where it is--and I'll----""Now, Dickie Deer Mouse hadn't eaten a single kernel of corn all that day. But he suddenly lost his appetite for it; and murmuring a faint good-bye he turned and ran for the woods as fast as he could go. The moment he plunged into the woods beyond the cornfield Dickie Deer Mouse began to feel better. He knew that Fatty Coon would not leave that place of plenty until he had filled himself almost to bursting with tender young corn.After Dickie had eaten a few seeds that he found under the trees, as well as a plump bug that was hiding beneath a log, he actually told himself that he was glad he had met Fatty Coon in the cornfield.That thought was a great comfort to him. Ever since he had waked up and heard Mr. Crow and Jasper Jay talking outside his house he had felt most uneasy. If Mr. Crow was going to guide Fatty Coon to his new home, Dickie hardly thought it safe to stay there any longer."
"But now he was sure that that danger was past. Fatty had given him his warning. And Dickie had no doubt that so long as he kept away from the corn his greedy neighbor would never bother to disturb him.Now, Dickie Deer Mouse had lost so much sleep--through being disturbed by Mr. Crow and Jasper Jay--that when night came he kept right on sleeping. Yes! Instead of joining his friends in a mad scamper through the woods in the moonlight, Dickie Deer Mouse slept on and on and on, until--something shook the small tree where he lived and made it sway as if an earthquake had come.Dickie Deer Mouse could scarcely believe it. But being a very polite young gentleman, he told Fatty that he would be glad to do anything in his power to assist him--or at least, anything except to come down out of the top of the tree. ""It's like this,"" Fatty Coon said, puffing a bit--on account of his climb--as he looked up at Dickie Deer Mouse. ""Old Mr. Crow says that Farmer Green is going to sick old dog Spot on me if I don't keep out of the cornfield.""""He'd like to have the cornfield to himself,"" he told Dickie. ""He'd like nothing better than to keep me out of it. And if old dog Spot is coming there after me, I certainly don't want to go near the place again.""""Ah! That's just the trouble!"" Fatty Coon cried. ""I can't! I'm too fond of corn. And that's why I've come here to have a word with you,"" he went on. ""I've noticed that you haven't set foot in the cornfield since I spoke to you over there in the middle of the day. And I want you to tell me how you manage to stay away."" It was true that Dickie Deer Mouse and all his relations feasted on the horns shed by the deer. But of course they didn't find horns in the woods every day. Only at a certain season of the year did the deer drop them. And since that time was now past, and the Deer Mouse family had scoured the woods until they found--and devoured--them all, it is clear that Fatty Coon had started out on a fruitless hunt.But he didn't know that, even if Dickie Deer Mouse did. And that was the reason why Dickie smiled as he watched Fatty Coon dodging about among the trees, looking for deer's horns where there couldn't possibly be any.""It's the finest thing that could happen to Fatty,"" Dickie Deer Mouse thought. ""While he's hunting for horns he can't go to the cornfield. And so long as he stays away from the cornfield, old dog Spot can't catch him there."""
"And then Dickie awoke, all a-shiver. But of course he felt better at once, for he knew that it was only a dream. And he stretched himself, and buried his head in his bed of cat-tail down, because the daylight was trickling in through his doorway.""No!"" he roared. ""I haven't had a morsel to eat since I last saw you. I've been hunting for horns all this time. And I've come back to tell you that I don't like your advice. If I followed it much longer there's no doubt that I'd starve to death.""""There's enough for them that don't care for much else,"" he muttered. ""But we can't feed the whole world on this corn, you know.... How would you like it if I took to eating deer's horns--when they're in season, of course?""By night Simon wandered about the fields and the woods, hunting for mice and insects. And since night was the time when Dickie Deer Mouse was awake, and up and doing, it would have been a wonder if the two had never met.One thing is certain: Dickie Deer Mouse was not eager to make Simon Screecher's acquaintance. Whenever he heard Simon's call he stopped and listened. If it sounded nearer the next time it reached his ears, Dickie Deer Mouse promptly hid himself in any good place that was handy.Dickie Deer Mouse looked up and spied him, sitting on a low limb. He was not so big as Dickie had supposed. But it was certainly Simon. Dickie knew him, beyond a doubt, by his ear-tufts, which stuck up from his head like horns.""You're a bright young chap,"" he observed. ""But that's not surprising, for I notice that you belong to the Deer Mouse family, and everybody's aware that they are one of the brightest families in Pleasant Valley--_what are left of them_."" ""I'm glad to see you,"" Solomon Owl told his cousin Simon Screecher, while Dickie Deer Mouse stood stock still on the ground beneath the tree where the two cousins were sitting. ""I'm glad to see you. And I hope you're enjoying good health.""Dickie Deer Mouse shivered. But he did not dare move, with one of Simon Screecher's great, glassy eyes staring straight at him. And there was something else that did not help to put him at his ease: Solomon Owl seemed to be watching him likewise!He was pleased to notice that Solomon Owl showed no sign of dismay. There was really no reason why he should. He was much bigger than his peppery cousin. And he looked at Simon in a calm and unruffled fashion that seemed to make that quarrelsome fellow angrier than ever."
"Dickie Deer Mouse wanted to stay right there, for he hated to miss any of the fun. But he remembered that he was a ""tidbit""; so he scampered away through the woods. And though he never knew how the fight ended, he was sure of one thing: There was no prize for the winner. After his escape from Solomon Owl and Simon Screecher, Dickie Deer Mouse never felt quite so care-free as he always had before, when wandering through the woods at night. And he never stayed inside his house after dark without wondering whether Solomon or Simon could by any chance discover his snug home in the last year's bird's nest. It was not a pleasant thought. And the oftener it popped into Dickie's head the less he liked it.But even after he had dried his wet coat and warmed himself well, at such times Dickie Deer Mouse started whenever he heard the slightest noise. Somehow, he couldn't get the Owl family out of his mind.So at last Dickie Deer Mouse made up his mind that he would move once more. And since he was not the sort to put off the doing of anything that had to be done, he set out at once to see what kind of place he could find.Now, Dickie Deer Mouse liked the woods in which he had always lived. So one might think it strange that when he set forth on his search he headed straight for Farmer Green's pasture. But there is no doubt that he knew what he was about.For some time he crept cautiously about the pasture, peeping under big rocks, and moving among the roots of the trees which dotted the hillside here and there. And since his eyes were of the sharpest, what he was looking for he found in surprising numbers.Most people, strolling through the pasture, would have noticed little except grass and bushes, trees and rocks and knolls. But those were not the things that Dickie Deer Mouse discovered, and sniffed at. What he was hunting for was _holes_.For Dickie had decided that when winter came, with its ice and snow, its cruel gales and its piercing cold, he would be far more comfortable underground than he could ever hope to be in a last year's bird's nest that was fastened to a tree.It is true that at the beginning of summer, when Dickie Deer Mouse climbed the tall elm where Mr. Crow lived, he found the old gentleman asleep in the nest that he had hoped to take for his own. But on the whole it was easy to discover whether a nest was deserted.One look into it usually told the story. Eggs in a bird's nest meant that somebody must live there. And of course if Dickie saw a bird sitting on a nest he knew right away that he couldn't live there without having a fight first.Something told him that he had stumbled upon the home of a dangerous person. And if the wind hadn't been blowing in his face, as he looked towards the wide opening, he would not have dared stay there as long as he did.Almost nobody else ever would have discovered the one that Dickie picked out at last as the best place of all in which to spend the winter. But the bright eyes of Dickie Deer Mouse found a tiny opening, which he carefully made just big enough to admit him.It was the entrance to an old burrow where an aunt and an uncle of Billy Woodchuck had once lived and raised a numerous family. When the children had all grown up and gone away their parents had left that home for a new one in the clover field. And somehow all the smaller field people had overlooked it."
"Little by little the frost had heaved the earth about the doorway, and the wash of the rains had helped to fill it, and Farmer Green's cows had trampled over it, and the grass had all but covered the small opening that remained.There were signs in plenty about the spot that told Dickie Deer Mouse the burrow was deserted. Or perhaps it would be better to say that there was no sign at all of any occupant. Dickie found not a trace of a path nor even a foot-print near the hole nor did his nose discover the faintest scent either of friend or enemy. Though Dickie Deer Mouse was shy, he couldn't have been a coward. For when he had reached the end of that first pitch that led into the old burrow of Billy Woodchuck's uncle and aunt he never once thought of turning back. Before him stretched a dark, dry, level tunnel. And through it Dickie quickly made his way.It was surprisingly long--that underground passage. But he came to the end of it at last. And creeping upwards, because the tunnel rose suddenly, Dickie Deer Mouse found himself in a roomy chamber, comfortably furnished with a big bed of soft, dried grasses, where Mr. and Mrs. Woodchuck had passed a good many hard winters asleep, while the snow lay deep upon the ground above them.It took Dickie Deer Mouse no longer than a jiffy to decide that he had found the very place for which he had been looking. He knew that in that secret chamber he had nothing to fear from Solomon Owl nor Simon Screecher, nor Fatty Coon, either. And when midwinter came, and the nights turned bitterly cold, he could cuddle down in that soft bed and dream about summer, and warm, moonlit nights in the woods of the world above.It certainly would have been a great mishap if he had gone away in such a hurry that he could never have found his doorway again. But it was an easy matter to fix the spot in his mind. When he came back he needed only to follow along the rail fence until he came to the corner. Not far from the fence corner, in the woods, stood Farmer Green's sugar house. And about the same distance on the other side of the fence a lone straggler of a maple tree stood on a knoll in the pasture. The departed Mr. and Mrs. Woodchuck had been wise enough to dig the opening to their burrow between the roots of the tree. They knew that if Tommy Fox tried to dig them out of their underground home, he would find the passage between the roots too small to squeeze through.Dickie Deer Mouse smiled as he saw what the builders of his house had done. They had made everything exactly to suit him. He knew that he could have done no better himself; in fact he knew that he couldn't have done nearly so well. For he was no digger. But he told himself that there was no reason why he should feel sad about that, so long as others were kind enough to dig a fine home and leave it for him to live in.""Hullo!"" Fatty said, looking up at Dickie, who had scrambled into a tree as soon as he caught sight of Fatty's plump form. ""What have you been doing in Farmer Green's pasture! I thought you always stayed in the woods--unless you happened to go to the cornfield."""
"""Why not?"" Fatty Coon inquired. ""I'm as good a climber as anybody. I can climb the tallest tree you ever saw, without feeling dizzy. But of course I'm a bit heavier than you are. And if you've gone and picked out a nest that's a long way above the ground, among the smallest branches, it might not be safe for me to go all the way up to it.""""Who's going to stop me?"" Fatty Coon growled. He was used to having his own way. And it always made him angry when anybody tried to upset his plans. ""I'm going to your house in the pasture now; and I'll soon show you that you're mistaken about your front hall.... You come with me and lead the way, young fellow!""""I'm hungry myself,"" he said, as if he had just remembered something. ""I was on my way to Farmer Green's corn house when I met you. And I really ought to get there before the moon comes up. So if you'll tell me where your house is I'll stop there when I come back.""""My new home----"" Dickie Deer Mouse informed him with an air of great pride----""my new home is in the burrow where Mr. and Mrs. Woodchuck used to live. The front door is under the tree that stands on the knoll just beyond the fence. But you can never get inside it, because you're altogether too fat."" In high spirits Dickie Deer Mouse hurried on through the woods until he came to the big beech tree. And though many others had been there before him, since the nuts had ripened, Dickie had such a sharp eye for a beech nut that even though it was then night, he soon found enough for a hearty meal.Then he had to have a romp with a few gay fellows whom he met under the beech tree. And so quickly did the time pass that before he knew it the night had turned gray. Day was breaking. And shouting good-bye to his friends Dickie Deer Mouse ran off towards Farmer Green's pasture. He wanted a nap. And having nothing in his summer home that was worth moving, he knew of no reason why he shouldn't begin at once to live in his new quarters.He never felt happier than he did as he scampered in and out among the trees, slipped under the rail fence, and streaked across the short grass of the pasture. But when he reached his doorway he stopped in dismay.As soon as he had taken several good looks at the company, Dickie Deer Mouse discovered that they were distant relations of his, of all ages and sizes. And at last he succeeded in sorting them into families."
"If the truth were known, the sight of his second and third and fourth cousins did not particularly please Dickie Deer Mouse. But he was an agreeable young gentleman. So he stepped forward and called several of his cousins by name. And since he couldn't say honestly that he was delighted to see them, he told them how well they looked and said that he hoped they had passed a happy summer.""Why, the great house that you've found!"" somebody cried. ""We've heard that it has a front hall a hundred times as long as Fatty Coon's tail. So of course there must be lots of rooms in it; and we've come to keep you company and spend the winter.""When he heard that news Dickie Deer Mouse became almost faint. He did not want to hurt his cousins' feelings. But his plan of spending the winter quietly hardly made him welcome the idea of having a dozen half-grown children in his home. For a few moments Dickie Deer Mouse's cousins looked terribly disappointed. He had told them that his new house had only one chamber. And each of the three big families had expected to have at least one bedroom.The elder cousins gathered in a group and talked in low tones. Dickie could not hear what they said. He hoped that they were going to bid him farewell and go back where they came from. But he soon saw that they had no such idea.Dickie tried to tell Cousin Dan'l Deer Mouse that he was afraid the chamber would be too crowded with so many in it. But when he opened his mouth the words, somehow, would not come. And at last he nodded his head and crept through his doorway, while his cousins followed him one by one.Their rude answer reached Dickie Deer Mouse just as he came to a place in his front hall to which he had paid little heed before. Right at the spot where he stood the tunnel divided itself into two passages. Before, he had taken the one on the right. But now something told him to go the other way. So he turned to the left, still followed closely by the cousin that was behind him.""What do you suggest?"" Cousin Dan'l asked Dickie Deer Mouse. ""You see the women are nervous."" And he cocked an eye up at the sky, as if he did not feel any too safe himself when he thought of Mr. Hawk."
